iter	Passed	Remaining
0	2	212
1	4	219
2	6	209
3	8	196
4	10	198
5	12	191
6	14	192
7	16	186
8	17	181
9	19	179
10	22	179
11	24	178
12	26	175
13	27	171
14	29	167
15	31	162
16	33	165
17	35	163
18	37	161
19	40	160
20	41	157
21	43	154
22	45	152
23	48	152
24	50	150
25	52	148
26	54	146
27	55	143
28	58	142
29	60	142
30	63	140
31	65	139
32	67	137
33	69	135
34	71	133
35	74	132
36	77	132
37	80	131
38	83	130
39	86	129
40	88	127
41	89	124
42	92	122
43	94	120
44	97	119
45	100	117
46	103	116
47	105	114
48	108	112
49	110	110
50	113	108
51	115	106
52	118	104
53	120	102
54	121	99
55	123	97
56	125	94
57	128	92
58	130	90
59	132	88
60	134	86
61	137	84
62	139	81
63	142	80
64	144	78
65	147	75
66	149	73
67	151	71
68	153	68
69	156	66
70	158	64
71	160	62
72	162	60
73	164	57
74	167	55
75	169	53
76	171	51
77	173	48
78	175	46
79	177	44
80	180	42
81	182	40
82	184	37
83	187	35
84	189	33
85	191	31
86	193	28
87	196	26
88	198	24
89	199	22
90	201	19
91	202	17
92	204	15
93	205	13
94	207	10
95	208	8
96	210	6
97	212	4
98	213	2
99	215	0
