iter	Passed	Remaining
0	142	142439
1	144	72248
2	147	48917
3	148	37091
4	152	30327
5	155	25689
6	157	22328
7	159	19827
8	162	17850
9	164	16281
10	167	15088
11	170	14012
12	172	13079
13	174	12266
14	176	11595
15	179	11052
16	183	10592
17	185	10123
18	187	9681
19	189	9291
20	191	8937
21	194	8638
22	197	8378
23	199	8103
24	201	7846
25	203	7607
26	204	7383
27	206	7172
28	209	7028
29	212	6872
30	214	6706
31	216	6546
32	218	6398
33	220	6262
34	222	6134
35	225	6042
36	227	5932
37	229	5817
38	231	5711
39	233	5608
40	235	5506
41	237	5428
42	240	5361
43	242	5277
44	244	5196
45	246	5118
46	248	5045
47	250	4976
48	253	4920
49	255	4857
50	257	4791
51	259	4729
52	261	4667
53	262	4607
54	264	4551
55	267	4514
56	270	4476
57	272	4427
58	274	4378
59	276	4334
60	278	4293
61	281	4261
62	284	4233
63	287	4201
64	289	4166
65	291	4132
66	294	4095
67	296	4070
68	299	4038
69	301	4003
70	303	3970
71	305	3937
72	307	3910
73	310	3889
74	313	3870
75	315	3841
76	317	3808
77	320	3784
78	322	3764
79	326	3757
80	329	3735
81	331	3713
82	333	3679
83	335	3655
84	337	3633
85	340	3617
86	342	3595
87	344	3573
88	346	3550
89	349	3530
90	351	3508
91	355	3508
92	358	3493
93	360	3476
94	362	3456
95	365	3441
96	368	3432
97	373	3437
98	375	3419
99	377	3399
100	380	3383
101	384	3380
102	389	3388
103	391	3372
104	393	3355
105	395	3337
106	399	3331
107	402	3323
108	404	3307
109	406	3288
110	408	3271
111	410	3253
112	413	3242
113	415	3232
114	418	3217
115	420	3201
116	421	3182
117	423	3164
118	425	3147
119	427	3138
120	430	3129
121	432	3112
122	434	3097
123	436	3082
124	438	3068
125	440	3054
126	443	3046
127	446	3040
128	448	3027
129	450	3013
130	452	2998
131	454	2985
132	456	2978
133	459	2970
134	461	2959
135	463	2946
136	465	2933
137	467	2922
138	470	2911
139	473	2909
140	475	2899
141	477	2884
142	479	2872
143	481	2860
144	483	2849
145	487	2849
146	490	2843
147	492	2832
148	494	2822
149	496	2812
150	498	2800
151	500	2794
152	503	2787
153	505	2778
154	507	2768
155	509	2757
156	511	2747
157	514	2739
158	517	2734
159	520	2731
160	521	2718
161	523	2708
162	525	2698
163	527	2690
164	530	2686
165	533	2679
166	535	2670
167	537	2659
168	539	2650
169	541	2642
170	544	2639
171	547	2634
172	549	2625
173	551	2617
174	553	2608
175	555	2602
176	559	2599
177	562	2595
178	564	2587
179	565	2578
180	567	2570
181	570	2562
182	573	2560
183	576	2556
184	578	2548
185	580	2539
186	582	2531
187	584	2523
188	586	2515
189	589	2512
190	592	2507
191	594	2500
192	595	2492
193	597	2484
194	599	2476
195	602	2472
196	605	2469
197	608	2462
198	609	2455
199	611	2447
200	614	2441
201	617	2438
202	620	2436
203	622	2429
204	625	2424
205	627	2418
206	629	2411
207	635	2421
208	638	2415
209	640	2409
210	642	2403
211	645	2397
212	647	2394
213	650	2390
214	653	2384
215	655	2377
216	657	2371
217	659	2364
218	661	2359
